rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Noodle King,"Lotte Shopping Avenue, Karet",4.3,709,"Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet, Jakarta",Korea,250,Jam:                                      11h - 22h (Sen-Min)
Legend of Noodle,Senopati,4.6,"1,457","Jl. Senopati No. 81, Senopati, Jakarta",Korea,200,Jam:                                      11h - 22h (Sen-Min)
Umaramu Indonesian Noodle,"Menteng Huis, Cikini",4,89,"Menteng Huis, Lantai 2, Jl. Cikini Raya No. 2 - 4, Cikini, Jakarta",Indonesia,150,Jam:                                      10h - 22h (Sen-Min)
"Jjang Korean Noodle, Grill, & Chikin’",Senopati,4.2,704,"Jl. Wolter Monginsidi No. 37, Senopati, Jakarta",Korea,300,"Jam:                                      11h - 21h (Sen, Sel, Rab, Kam, Min), 11h - 21h 30m..."
Pò Noodle Bar,Senopati,4.2,206,"Jl. Prof. Joko Sutono, Blok SH No. 7B, Senopati, Jakarta",Chinese,150,Jam:                                      11h - 20h (Sen-Min)
Ncek Legenda Noodle Bar,Kelapa Gading,4.4,435,"Jl. Kelapa Hybrida Raya, Blok QK1 No. 16, Kelapa Gading, Jakarta","Bakmi, Chinese",70,"Jam:                                      7h - 16h (Sen),7h - 21h (Sel-Min)"
Holy Noodle,"Mall of Indonesia, Kelapa Gading",4.3,162,"Mall of Indonesia, Ruko Kelapa Gading Square, Blok C7, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Korea,200,Jam:                                      11h - 22h (Sen-Min)
Depot 3.6.9 Shanghai Dumpling & Noodle,Mangga Besar,3.5,55,"Jl. Mangga Besar Raya No. 57A, Mangga Besar, Jakarta",Chinese,300,Jam:                                      10h - 22h (Sen-Min)
Hunan Fish Noodle,"Plaza Senayan, Senayan",4,81,"Plaza Senayan, Lantai 3, Food Court, Jl. Asia Afrika, Senayan, Jakarta",Chinese,100,Jam:                                      10h - 22h (Sen-Min)
Pinangsari - Noodle & Chinese Food,Kota,4,73,"Jl. Pinangsia Timur No. 1, Kota, Jakarta 11110",Chinese,200,Jam:                                      6h - 16h 30m (Sen-Min)
